Name,Category ID,Programs copy,Programs copy 2,Programs,Programs 2,Programs copy 2,Programs copy 2,CPL Programs Import copy
Academic support,223,778,,782,"782,811,812,815,818,823,826,905,930,1009,1016,1098,1118,1119,1268,1280,1307,1308,1309",,"782,811,812,815,818,823,826,905,930,1009,1016,1098,1118,1119,1268,1280,1307,1308,1309",
Building and fixing things,210,,,759,"759,793,826,856,889,890,891,902,951,952,1045,1146,1184,1188,1202,1273,1274,1275,1286,1311,1312,1404,1407,1418,1419",,"759,793,826,856,889,890,891,902,951,952,1045,1146,1184,1188,1202,1273,1274,1275,1286,1311,1312,1404,1407,1418,1419",
Computers,228,757,,"757, 758","757,758,793,813,829,856,887,888,905,915,916,930,951,952,953,1009,1248,1250,1274,1311,1312,1399,1400,1418,1419,1424,1425,1426,1427,1428,1429,1432,1433,1434,1435,1437,1438,1444,1453",,"757,758,793,813,829,856,887,888,905,915,916,930,951,952,953,1009,1248,1250,1274,1311,1312,1399,1400,1418,1419,1424,1425,1426,1427,1428,1429,1432,1433,1434,1435,1437,1438,1444,1453",
Customer/Human service,351,,,,"811,1439",,"811,1439",
Digital media,225,757,,"757, 758, 762, 782","757,758,762,782,794,819,821,826,841,845,846,847,848,849,850,851,854,857,880,881,882,883,884,885,886,896,908,910,916,953,968,969,986,998,1009,1087,1088,1090,1245,1247,1250,1251,1401,1439,1441,1453",,"757,758,762,782,794,819,821,826,841,845,846,847,848,849,850,851,854,857,880,881,882,883,884,885,886,896,908,910,916,953,968,969,986,998,1009,1087,1088,1090,1245,1247,1250,1251,1401,1439,1441,1453",
Food,229,,,,"835,855,904,983,1033,1049,1113,1166,1192,1335,1369,1401",,"835,855,904,983,1033,1049,1113,1166,1192,1335,1369,1401",
Healthcare,220,,,,"783,784,834,1448",,"783,784,834,1448",
Helping your community,215,754,,"754, 767, 768, 769, 774, 777","754,767,768,769,774,777,792,794,806,820,821,822,834,838,839,907,908,911,952,963,1009,1014,1041,1047,1048,1058,1280,1309,1430,1441",,"754,767,768,769,774,777,792,794,806,820,821,822,834,838,839,907,908,911,952,963,1009,1014,1041,1047,1048,1058,1280,1309,1430,1441",
Law,216,,,,784,,784,
Managing money,224,,,"772, 779","772,779,814,892,1059",,"772,779,814,892,1059",
Math,219,,,,"823,825,859,905,980,1009,1016,1046,1145,1146,1205,1345",,"823,825,859,905,980,1009,1016,1046,1145,1146,1205,1345",
Music + Art,232,754,,"754, 759, 761, 770, 774","754,759,761,770,774,792,795,796,797,812,819,820,822,824,830,831,832,833,836,838,842,843,853,863,868,871,876,877,878,897,900,901,902,906,908,916,917,918,919,920,921,922,923,924,925,926,927,928,929,931,932,933,934,935,936,937,938,941,942,943,949,950,953,954,955,966,975,976,977,982,984,985,988,989,993,995,997,998,999,1000,1001,1002,1003,1004,1005,1006,1008,1010,1011,1012,1015,1016,1020,1021,1022,1023,1024,1026,1029,1030,1034,1035,1038,1039,1044,1050,1052,1054,1060,1061,1063,1064,1065,1066,1067,1068,1070,1071,1072,1073,1075,1077,1078,1079,1080,1081,1082,1083,1084,1085,1089,1092,1093,1094,1096,1097,1099,1100,1101,1107,1116,1117,1118,1119,1120,1122,1124,1125,1126,1127,1131,1135,1136,1137,1138,1139,1140,1143,1144,1145,1146,1147,1150,1152,1153,1154,1155,1156,1158,1161,1162,1164,1172,1173,1174,1175,1176,1178,1179,1180,1181,1182,1183,1184,1187,1188,1190,1191,1193,1194,1195,1196,1198,1199,1200,1202,1203,1204,1205,1207,1209,1211,1213,1215,1216,1217,1218,1219,1221,1227,1228,1229,1243,1244,1245,1246,1248,1249,1262,1263,1279,1295,1304,1310,1317,1318,1321,1325,1327,1337,1342,1343,1344,1345,1357,1359,1360,1361,1368,1369,1370,1371,1374,1376,1377,1380,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1401,1403,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1420,1421,1440,1447,1452,1454",,"754,759,761,770,774,792,795,796,797,812,819,820,822,824,830,831,832,833,836,838,842,843,853,863,868,871,876,877,878,897,900,901,902,906,908,916,917,918,919,920,921,922,923,924,925,926,927,928,929,931,932,933,934,935,936,937,938,941,942,943,949,950,953,954,955,966,975,976,977,982,984,985,988,989,993,995,997,998,999,1000,1001,1002,1003,1004,1005,1006,1008,1010,1011,1012,1015,1016,1020,1021,1022,1023,1024,1026,1029,1030,1034,1035,1038,1039,1044,1050,1052,1054,1060,1061,1063,1064,1065,1066,1067,1068,1070,1071,1072,1073,1075,1077,1078,1079,1080,1081,1082,1083,1084,1085,1089,1092,1093,1094,1096,1097,1099,1100,1101,1107,1116,1117,1118,1119,1120,1122,1124,1125,1126,1127,1131,1135,1136,1137,1138,1139,1140,1143,1144,1145,1146,1147,1150,1152,1153,1154,1155,1156,1158,1161,1162,1164,1172,1173,1174,1175,1176,1178,1179,1180,1181,1182,1183,1184,1187,1188,1190,1191,1193,1194,1195,1196,1198,1199,1200,1202,1203,1204,1205,1207,1209,1211,1213,1215,1216,1217,1218,1219,1221,1227,1228,1229,1243,1244,1245,1246,1248,1249,1262,1263,1279,1295,1304,1310,1317,1318,1321,1325,1327,1337,1342,1343,1344,1345,1357,1359,1360,1361,1368,1369,1370,1371,1374,1376,1377,1380,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1401,1403,1408,1409,1410,1411,1412,1413,1414,1415,1416,1417,1420,1421,1440,1447,1452,1454",
Nature,226,,,"767, 775, 776","767,775,776,806,909,945,978,1058,1107,1122,1163,1394,1402,1423,1450",,"767,775,776,806,909,945,978,1058,1107,1122,1163,1394,1402,1423,1450",
Performance,227,,,"761, 771","761,771,783,795,796,797,798,799,800,801,802,803,804,805,828,838,857,859,901,902,912,913,914,916,958,1032,1041,1054,1169,1189,1200,1306,1310,1314,1315,1320,1322,1401,1454",,"761,771,783,795,796,797,798,799,800,801,802,803,804,805,828,838,857,859,901,902,912,913,914,916,958,1032,1041,1054,1169,1189,1200,1306,1310,1314,1315,1320,1322,1401,1454",
Reading + Writing,230,,,,"798,799,800,801,802,803,804,805,815,816,824,844,858,879,894,898,946,947,948,964,965,996,1031,1086,1115,1128,1130,1136,1148,1155,1156,1157,1158,1171,1174,1176,1181,1195,1198,1201,1211,1302,1306,1320,1322,1368,1403",,"798,799,800,801,802,803,804,805,815,816,824,844,858,879,894,898,946,947,948,964,965,996,1031,1086,1115,1128,1130,1136,1148,1155,1156,1157,1158,1171,1174,1176,1181,1195,1198,1201,1211,1302,1306,1320,1322,1368,1403",
Science,218,,,"762, 764, 765, 766, 775, 776, 777","762,764,765,766,775,776,777,807,808,809,810,813,816,825,830,831,832,833,852,856,859,869,905,909,930,951,962,971,972,973,974,981,987,988,989,1009,1016,1018,1037,1058,1074,1123,1145,1146,1177,1186,1188,1191,1194,1201,1202,1205,1313,1327,1345,1402,1405,1406,1431,1445,1447,1448,1450,1452,1455",,"762,764,765,766,775,776,777,807,808,809,810,813,816,825,830,831,832,833,852,856,859,869,905,909,930,951,962,971,972,973,974,981,987,988,989,1009,1016,1018,1037,1058,1074,1123,1145,1146,1177,1186,1188,1191,1194,1201,1202,1205,1313,1327,1345,1402,1405,1406,1431,1445,1447,1448,1450,1452,1455",
Social studies,221,,,,"908,944,961,963,1013,1442,1443,1451",,"908,944,961,963,1013,1442,1443,1451",
Sports + wellness,231,,,"766, 769, 770","766,769,770,827,835,837,840,859,860,861,862,863,864,865,866,867,870,872,873,874,875,893,895,899,916,939,940,956,957,959,960,967,979,990,991,992,994,1007,1009,1015,1017,1019,1023,1025,1027,1028,1036,1040,1042,1049,1053,1055,1056,1057,1062,1069,1091,1095,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1114,1118,1119,1121,1129,1132,1133,1134,1135,1141,1142,1149,1151,1155,1156,1158,1159,1160,1165,1168,1170,1185,1197,1206,1208,1210,1214,1220,1222,1223,1224,1225,1226,1230,1231,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1264,1265,1266,1267,1269,1270,1271,1272,1276,1277,1278,1279,1281,1282,1283,1284,1285,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1303,1304,1305,1316,1319,1323,1324,1326,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1358,1360,1361,1362,1363,1364,1365,1366,1367,1372,1373,1375,1376,1378,1379,1380,1381,1397,1398,1401",,"766,769,770,827,835,837,840,859,860,861,862,863,864,865,866,867,870,872,873,874,875,893,895,899,916,939,940,956,957,959,960,967,979,990,991,992,994,1007,1009,1015,1017,1019,1023,1025,1027,1028,1036,1040,1042,1049,1053,1055,1056,1057,1062,1069,1091,1095,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1114,1118,1119,1121,1129,1132,1133,1134,1135,1141,1142,1149,1151,1155,1156,1158,1159,1160,1165,1168,1170,1185,1197,1206,1208,1210,1214,1220,1222,1223,1224,1225,1226,1230,1231,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1264,1265,1266,1267,1269,1270,1271,1272,1276,1277,1278,1279,1281,1282,1283,1284,1285,1287,1288,1289,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1303,1304,1305,1316,1319,1323,1324,1326,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1346,1347,1348,1349,1350,1351,1352,1353,1354,1355,1356,1358,1360,1361,1362,1363,1364,1365,1366,1367,1372,1373,1375,1376,1378,1379,1380,1381,1397,1398,1401",
Teaching,217,,,771,"771,1009,1167,1189,1212,1232,1360,1453",,"771,1009,1167,1189,1212,1232,1360,1453",
Transportation,211,,,,,,,
Work + Career,222,,,"764, 765, 768, 772, 779","764,765,768,772,779,807,808,809,810,814,818,826,852,859,891,907,911,961,962,1051,1058,1076,1309,1311,1312,1401,1422,1430,1436,1446,1447,1449,1450,1451,1453",,"764,765,768,772,779,807,808,809,810,814,818,826,852,859,891,907,911,961,962,1051,1058,1076,1309,1311,1312,1401,1422,1430,1436,1446,1447,1449,1450,1451,1453",
